Especies,Conteo,Localidad,Tipo de Observacion,Fecha de la Observacion,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA (Km),AREA CUBIERTA,ELEVACION:,Numero de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles,Detalles,Coordenadas
Rufous-browed Conebill (Conirostrum rufum),2,hato grande,Con Desplazamiento,2023-12-06,7:27:00 a. m.,"2 hora(s), 7 minuto(s)",1.5,,,2,TRUE,35 especies,,,
Black Flowerpiercer (Diglossa humeralis),3,hato grande,Con Desplazamiento,2023-12-06,7:27:00 a. m.,"2 hora(s), 7 minuto(s)",1.5,,,2,TRUE,35 especies,,,
Grassland Yellow-Finch (Sicalis luteola),1,hato grande,Con Desplazamiento,2023-12-06,7:27:00 a. m.,"2 hora(s), 7 minuto(s)",1.5,,,2,TRUE,35 especies,,,
Blue-winged Teal (Spatula discors),58,Humedal BRINSA,Con Desplazamiento,2023-11-11,9:28:00 a. m.,"1 hora(s), 40 minuto(s)",1.0 ,,,1,TRUE,9 especies,,,
Andean Duck (Oxyura ferruginea),35,Humedal BRINSA,Con Desplazamiento,2023-11-11,9:28:00 a. m.,"1 hora(s), 40 minuto(s)",1.0 ,,,1,TRUE,9 especies,,,
Common Gallinule (Gallinula galeata),5,Humedal BRINSA,Con Desplazamiento,2023-11-11,9:28:00 a. m.,"1 hora(s), 40 minuto(s)",1.0 ,,,1,TRUE,9 especies,,,
American Coot (Fulica americana),38,Humedal BRINSA,Con Desplazamiento,2023-11-11,9:28:00 a. m.,"1 hora(s), 40 minuto(s)",1.0 ,,,1,TRUE,9 especies,,,
Bare-faced Ibis (Phimosus infuscatus),5,Humedal BRINSA,Con Desplazamiento,2023-11-11,9:28:00 a. m.,"1 hora(s), 40 minuto(s)",1.0 ,,,1,TRUE,9 especies,,,
Black Vulture (Coragyps atratus),30,Humedal BRINSA,Con Desplazamiento,2023-11-11,9:28:00 a. m.,"1 hora(s), 40 minuto(s)",1.0 ,,,1,TRUE,9 especies,,,
Tropical Kingbird (Tyrannus melancholicus),2,Humedal BRINSA,Con Desplazamiento,2023-11-11,9:28:00 a. m.,"1 hora(s), 40 minuto(s)",1.0 ,,,1,TRUE,9 especies,,,
Northern Waterthrush (Parkesia noveboracensis),1,Humedal BRINSA,Con Desplazamiento,2023-11-11,9:28:00 a. m.,"1 hora(s), 40 minuto(s)",1.0 ,,,1,TRUE,9 especies,,,
Grassland Yellow-Finch (Sicalis luteola),2,Humedal BRINSA,Con Desplazamiento,2023-11-11,9:28:00 a. m.,"1 hora(s), 40 minuto(s)",1.0 ,,,1,TRUE,9 especies,,,
Eared Dove (Zenaida auriculata),3,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",1.23 ,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
Sparkling Violetear (Colibri coruscans),2,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",1.23 ,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
Bogota Rail (Rallus semiplumbeus),1,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",1.23 ,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
Western Cattle Egret (Bubulcus ibis),1,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",1.23 ,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
White-tailed Kite (Elanus leucurus),1,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",1.23 ,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
Silvery-throated Spinetail (Synallaxis subpudica),2,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",1.23 ,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
